18005;MD;Madrid-Chamartín;León;18:38;23:28;290;37.55;LMXJVSD
Madrid-Chamartín;*;18:38
Villalba de Guadarrama;19:16;19:17
El Escorial;19:24;19:25
Zarzalejo;19:29;19:30
Robledo de Chavela;19:35;19:36
Santa María de la Alameda;19:41;19:42
Las Navas del Marqués;19:57;19:58
Navalperal;20:02;20:03
Herradón-La Cañada;20:11;20:12
Ávila;20:29;20:30
Arévalo;20:55;20:56
Medina del Campo;21:13;21:14
Valladolid;21:36;21:37
Venta de Baños;22:07;22:08
Palencia;22:18;22:19
Paredes de Nava;22:33;22:34
Villada;22:46;22:47
Sahagún;22:55;22:56
León;23:28;*
