18002;MD;León;Madrid-Chamartín;06:50;11:45;295;37.55;LMXJVSD
León;*;06:50
Sahagún;07:21;07:22
Villada;07:30;07:31
Paredes de Nava;07:43;07:44
Palencia;07:59;08:00
Venta de Baños;08:12;08:13
Valladolid-Universidad;08:33;08:34
Valladolid;08:42;08:43
Medina del Campo;09:09;09:10
Arévalo;09:26;09:27
Ávila;09:53;09:55
Herradón-La Cañada;10:10;10:11
Navalperal;10:18;10:19
Las Navas del Marqués;10:23;10:24
Santa María de la Alameda;10:39;10:40
Robledo de Chavela;10:45;10:46
Zarzalejo;10:52;10:53
El Escorial;10:58;10:59
Villalba de Guadarrama;11:08;11:09
Madrid-Chamartín;11:45;*
