18101;R. EXPRES;Valladolid;Santander;09:55;13:41;226;23.85;LMXJV
Valladolid;*;09:55
Valladolid-Universidad;09:59;10:00
Cabezón de Pisuerga;10:08;10:09
Cubillas de Santa Marta;10:15;10:16
Dueñas;10:20;10:21
Venta de Baños;10:26;10:27
Palencia;10:37;10:38
El Carrión;10:46;10:47
Piña;10:54;10:55
Frómista;10:59;11:00
Osorno;11:11;11:12
Espinosa de Villagonzalo;11:20;11:21
Herrera de Pisuerga;11:29;11:30
Alar del Rey-San Quirce;11:35;11:36
Aguilar de Campoo;11:51;11:52
Mataporquera;12:00;12:01
Reinosa;12:15;12:16
Bárcena;12:47;12:48
Los Corrales de Buelna;13:01;13:02
Torrelavega;13:11;13:12
Renedo;13:21;13:22
Maliaño;13:32;13:33
Valdecilla;13:37;13:38
Santander;13:41;*
