04149;AVE;Madrid-Chamartín;León;14:40;16:53;133;55.10;LMXJVD
Madrid-Chamartín;*;14:40
Segovia AV;15:07;15:08
Valladolid;15:41;15:43
Palencia;16:08;16:10
León;16:53;*
