18103;R. Expres;Valladolid;Santander;16:54;21:02;248;23.85;SD
Valladolid;*;16:54
Valladolid-Universidad;16:58;16:59
Cabezón de Pisuerga;17:06;17:07
Cubillas de Santa Marta;17:13;17:14
Dueñas;17:18;17:19
Venta de Baños;17:24;17:25
Palencia;17:35;17:36
Monzón de Campos;17:43;17:44
El Carrión;17:45;17:46
Amusco;17:50;17:51
Piña;17:54;17:55
Frómista;17:59;18:00
Osorno;18:09;18:10
Espinosa de Villagonzalo;18:15;18:16
Herrera de Pisuerga;18:27;18:28
Alar del Rey-San Quirce;18:33;18:34
Mave;18:40;18:41
Aguilar de Campoo;18:49;18:50
Quintanilla de las Torres;18:54;18:55
Mataporquera;19:00;19:01
Reinosa;19:16;19:17
Bárcena;19:55;19:56
Los Corrales de Buelna;20:09;20:10
Torrelavega;20:19;20:20
Renedo;20:35;20:36
Maliaño;20:52;20:53
Valdecilla;20:58;20:59
Santander;21:02; *
